t,r,x,v,p1_bar,p2_bar,ps_bar,u_cmd,xv1,xv2,F_ext
3.845000,0.200000,0.107691,0.003161,12.683293,25.896437,149.797357,0.036275,0.036242,0.036242,0.000000
3.850000,0.200000,0.107707,0.003163,12.687137,25.904283,149.797245,0.036296,0.036263,0.036263,0.000000
3.855000,0.200000,0.107723,0.003165,12.690978,25.912122,149.797133,0.036316,0.036283,0.036283,0.000000
3.860000,0.200000,0.107739,0.003166,12.694816,25.919957,149.797022,0.036337,0.036304,0.036304,0.000000
3.865000,0.200000,0.107755,0.003168,12.698652,25.927785,149.796910,0.036357,0.036324,0.036324,0.000000
3.870000,0.200000,0.107770,0.003170,12.702484,25.935607,149.796799,0.036378,0.036345,0.036345,0.000000
3.875000,0.200000,0.107786,0.003172,12.706314,25.943423,149.796687,0.036398,0.036365,0.036365,0.000000
3.880000,0.200000,0.107802,0.003174,12.710140,25.951234,149.796576,0.036419,0.036386,0.036386,0.000000
3.885000,0.200000,0.107818,0.003176,12.713964,25.959038,149.796464,0.036439,0.036406,0.036406,0.000000
3.890000,0.200000,0.107834,0.003177,12.717785,25.966837,149.796353,0.036459,0.036426,0.036426,0.000000
3.895000,0.200000,0.107850,0.003179,12.721603,25.974630,149.796241,0.036480,0.036447,0.036447,0.000000
3.900000,0.200000,0.107866,0.003181,12.725419,25.982416,149.796130,0.036500,0.036467,0.036467,0.000000
3.905000,0.200000,0.107882,0.003183,12.729231,25.990197,149.796018,0.036521,0.036488,0.036488,0.000000
3.910000,0.200000,0.107897,0.003185,12.733040,25.997972,149.795907,0.036541,0.036508,0.036508,0.000000
3.915000,0.200000,0.107913,0.003187,12.736847,26.005741,149.795795,0.036562,0.036529,0.036529,0.000000
3.920000,0.200000,0.107929,0.003189,12.740650,26.013504,149.795684,0.036582,0.036549,0.036549,0.000000
3.925000,0.200000,0.107945,0.003190,12.744451,26.021261,149.795573,0.036602,0.036569,0.036569,0.000000
3.930000,0.200000,0.107961,0.003192,12.748249,26.029012,149.795461,0.036623,0.036590,0.036590,0.000000
3.935000,0.200000,0.107977,0.003194,12.752043,26.036758,149.795350,0.036643,0.036610,0.036610,0.000000
3.940000,0.200000,0.107993,0.003196,12.755835,26.044497,149.795239,0.036664,0.036631,0.036631,0.000000
3.945000,0.200000,0.108009,0.003198,12.759624,26.052230,149.795127,0.036684,0.036651,0.036651,0.000000
3.950000,0.200000,0.108025,0.003200,12.763410,26.059958,149.795016,0.036704,0.036671,0.036671,0.000000
3.955000,0.200000,0.108041,0.003202,12.767194,26.067679,149.794905,0.036725,0.036692,0.036692,0.000000
3.960000,0.200000,0.108057,0.003203,12.770974,26.075395,149.794794,0.036745,0.036712,0.036712,0.000000
3.965000,0.200000,0.108073,0.003205,12.774751,26.083104,149.794683,0.036765,0.036733,0.036733,0.000000
3.970000,0.200000,0.108089,0.003207,12.778526,26.090808,149.794572,0.036786,0.036753,0.036753,0.000000
3.975000,0.200000,0.108105,0.003209,12.782297,26.098505,149.794460,0.036806,0.036773,0.036773,0.000000
3.980000,0.200000,0.108121,0.003211,12.786066,26.106197,149.794349,0.036827,0.036794,0.036794,0.000000
3.985000,0.200000,0.108137,0.003213,12.789831,26.113883,149.794238,0.036847,0.036814,0.036814,0.000000
3.990000,0.200000,0.108153,0.003215,12.793594,26.121562,149.794127,0.036867,0.036834,0.036834,0.000000
