t,r,x,v,p1_bar,p2_bar,ps_bar,u_cmd,xv1,xv2,F_ext
0.805000,0.050000,0.050000,0.000000,10.005703,20.437600,149.999992,0.000001,0.000001,0.000001,0.000000
0.810000,0.050000,0.050000,0.000000,10.005704,20.437600,149.999992,0.000001,0.000001,0.000001,0.000000
0.815000,0.050000,0.050000,0.000000,10.005704,20.437601,149.999992,0.000001,0.000001,0.000001,0.000000
0.820000,0.050000,0.050000,0.000000,10.005704,20.437601,149.999993,0.000001,0.000001,0.000001,0.000000
0.825000,0.050000,0.050000,0.000000,10.005704,20.437602,149.999993,0.000001,0.000001,0.000001,0.000000
0.830000,0.050000,0.050000,0.000000,10.005705,20.437602,149.999993,0.000001,0.000001,0.000001,0.000000
0.835000,0.050000,0.050000,0.000000,10.005705,20.437603,149.999993,0.000001,0.000001,0.000001,0.000000
0.840000,0.050000,0.050000,0.000000,10.005705,20.437603,149.999993,0.000001,0.000001,0.000001,0.000000
0.845000,0.050000,0.050000,0.000000,10.005705,20.437604,149.999993,0.000001,0.000001,0.000001,0.000000
0.850000,0.050000,0.050000,0.000000,10.005706,20.437604,149.999993,0.000001,0.000001,0.000001,0.000000
0.855000,0.050000,0.050000,0.000000,10.005706,20.437605,149.999993,0.000001,0.000001,0.000001,0.000000
0.860000,0.050000,0.050000,0.000000,10.005706,20.437605,149.999994,0.000001,0.000001,0.000001,0.000000
0.865000,0.050000,0.050000,0.000000,10.005706,20.437606,149.999994,0.000001,0.000001,0.000001,0.000000
0.870000,0.050000,0.050000,0.000000,10.005707,20.437606,149.999994,0.000001,0.000001,0.000001,0.000000
0.875000,0.050000,0.050000,0.000000,10.005707,20.437607,149.999994,0.000001,0.000001,0.000001,0.000000
0.880000,0.050000,0.050000,0.000000,10.005707,20.437607,149.999994,0.000001,0.000001,0.000001,0.000000
0.885000,0.050000,0.050000,0.000000,10.005707,20.437607,149.999994,0.000001,0.000001,0.000001,0.000000
0.890000,0.050000,0.050000,0.000000,10.005707,20.437608,149.999994,0.000001,0.000001,0.000001,0.000000
0.895000,0.050000,0.050000,0.000000,10.005708,20.437608,149.999994,0.000001,0.000001,0.000001,0.000000
0.900000,0.050000,0.050000,0.000000,10.005708,20.437609,149.999994,0.000001,0.000001,0.000001,0.000000
0.905000,0.050000,0.050000,0.000000,10.005708,20.437609,149.999994,0.000001,0.000001,0.000001,0.000000
0.910000,0.050000,0.050000,0.000000,10.005708,20.437609,149.999995,0.000001,0.000001,0.000001,0.000000
0.915000,0.050000,0.050000,0.000000,10.005708,20.437610,149.999995,0.000001,0.000001,0.000001,0.000000
0.920000,0.050000,0.050000,0.000000,10.005709,20.437610,149.999995,0.000001,0.000001,0.000001,0.000000
0.925000,0.050000,0.050000,0.000000,10.005709,20.437611,149.999995,0.000001,0.000001,0.000001,0.000000
0.930000,0.050000,0.050000,0.000000,10.005709,20.437611,149.999995,0.000001,0.000001,0.000001,0.000000
0.935000,0.050000,0.050000,0.000000,10.005709,20.437611,149.999995,0.000001,0.000001,0.000001,0.000000
0.940000,0.050000,0.050000,0.000000,10.005709,20.437612,149.999995,0.000001,0.000001,0.000001,0.000000
0.945000,0.050000,0.050000,0.000000,10.005709,20.437612,149.999995,0.000001,0.000001,0.000001,0.000000
0.950000,0.050000,0.050000,0.000000,10.005710,20.437612,149.999995,0.000001,0.000001,0.000001,0.000000
0.955000,0.050000,0.050000,0.000000,10.005710,20.437613,149.999995,0.000001,0.000001,0.000001,0.000000
0.960000,0.050000,0.050000,0.000000,10.005710,20.437613,149.999995,0.000001,0.000001,0.000001,0.000000
0.965000,0.050000,0.050000,0.000000,10.005710,20.437613,149.999996,0.000001,0.000001,0.000001,0.000000
0.970000,0.050000,0.050000,0.000000,10.005710,20.437614,149.999996,0.000001,0.000001,0.000001,0.000000
0.975000,0.050000,0.050000,0.000000,10.005710,20.437614,149.999996,0.000001,0.000001,0.000001,0.000000
0.980000,0.050000,0.050000,0.000000,10.005710,20.437614,149.999996,0.000001,0.000001,0.000001,0.000000
0.985000,0.050000,0.050000,0.000000,10.005711,20.437614,149.999996,0.000001,0.000001,0.000001,0.000000
0.990000,0.050000,0.050000,0.000000,10.005711,20.437615,149.999996,0.000001,0.000001,0.000001,0.000000
0.995000,0.050000,0.050000,0.000000,10.005711,20.437615,149.999996,0.000001,0.000001,0.000001,0.000000
1.000000,0.150000,0.050000,0.000000,10.005711,20.437615,149.999996,1.000000,0.000001,0.000001,0.000000
1.005000,0.150000,0.050022,0.019460,10.525544,20.248112,149.587319,1.000000,0.423259,0.423259,0.000000
1.010000,0.150000,0.050313,0.094498,10.649256,20.524048,148.221993,1.000000,0.873670,0.873670,0.000000
1.015000,0.150000,0.050798,0.084317,10.169280,21.236450,146.772761,1.000000,1.000000,1.000000,0.000000
1.020000,0.150000,0.051175,0.079486,10.856134,21.315685,145.845659,1.000000,1.000000,1.000000,0.000000
1.025000,0.150000,0.051637,0.096564,10.695902,21.826310,145.296623,1.000000,1.000000,1.000000,0.000000
1.030000,0.150000,0.052059,0.074602,10.913740,22.110622,144.965647,1.000000,1.000000,1.000000,0.000000
1.035000,0.150000,0.052468,0.092887,11.242412,22.322765,144.702246,1.000000,1.000000,1.000000,0.000000
1.040000,0.150000,0.052929,0.083955,11.070477,22.784683,144.441083,1.000000,1.000000,1.000000,0.000000
1.045000,0.150000,0.053324,0.081987,11.526604,22.893260,144.184436,1.000000,1.000000,1.000000,0.000000
1.050000,0.150000,0.053774,0.092266,11.448055,23.276930,143.932928,1.000000,1.000000,1.000000,0.000000
1.055000,0.150000,0.054197,0.078652,11.620707,23.507651,143.683402,1.000000,1.000000,1.000000,0.000000
1.060000,0.150000,0.054613,0.090189,11.846558,23.698489,143.439697,1.000000,1.000000,1.000000,0.000000
1.065000,0.150000,0.055061,0.084392,11.768475,24.039401,143.198456,1.000000,1.000000,1.000000,0.000000
1.070000,0.150000,0.055468,0.083313,12.077510,24.157304,142.961157,1.000000,1.000000,1.000000,0.000000
1.075000,0.150000,0.055909,0.089645,12.051773,24.446546,142.728123,1.000000,1.000000,1.000000,0.000000
1.080000,0.150000,0.056334,0.081146,12.182807,24.636770,142.497377,1.000000,1.000000,1.000000,0.000000
1.085000,0.150000,0.056754,0.088326,12.345532,24.800081,142.271297,1.000000,1.000000,1.000000,0.000000
1.090000,0.150000,0.057194,0.084745,12.317704,25.056132,142.047765,1.000000,1.000000,1.000000,0.000000
1.095000,0.150000,0.057608,0.083971,12.529672,25.170144,141.827672,1.000000,1.000000,1.000000,0.000000
1.100000,0.150000,0.058043,0.087995,12.534520,25.388957,141.611226,1.000000,1.000000,1.000000,0.000000
1.105000,0.150000,0.058468,0.082652,12.631815,25.546126,141.397147,1.000000,1.000000,1.000000,0.000000
1.110000,0.150000,0.058890,0.087057,12.753064,25.681864,141.186912,1.000000,1.000000,1.000000,0.000000
1.115000,0.150000,0.059325,0.084952,12.751130,25.876460,140.979198,1.000000,1.000000,1.000000,0.000000
1.120000,0.150000,0.059743,0.084287,12.898264,25.979798,140.774501,1.000000,1.000000,1.000000,0.000000
1.125000,0.150000,0.060174,0.086913,12.918903,26.145821,140.572985,1.000000,1.000000,1.000000,0.000000
1.130000,0.150000,0.060600,0.083536,12.990450,26.274925,140.373798,1.000000,1.000000,1.000000,0.000000
1.135000,0.150000,0.061022,0.086189,13.082556,26.385597,140.177851,1.000000,1.000000,1.000000,0.000000
1.140000,0.150000,0.061453,0.085026,13.093053,26.534376,139.984331,1.000000,1.000000,1.000000,0.000000
1.145000,0.150000,0.061874,0.084422,13.196178,26.624158,139.793483,1.000000,1.000000,1.000000,0.000000
1.150000,0.150000,0.062302,0.086167,13.223326,26.750250,139.605444,1.000000,1.000000,1.000000,0.000000
1.155000,0.150000,0.062728,0.084031,13.275765,26.855190,139.419636,1.000000,1.000000,1.000000,0.000000
1.160000,0.150000,0.063151,0.085587,13.346234,26.944087,139.236617,1.000000,1.000000,1.000000,0.000000
1.165000,0.150000,0.063579,0.084998,13.361794,27.057889,139.055890,1.000000,1.000000,1.000000,0.000000
1.170000,0.150000,0.064001,0.084460,13.434512,27.133463,138.877554,1.000000,1.000000,1.000000,0.000000
1.175000,0.150000,0.064427,0.085626,13.462659,27.229031,138.701721,1.000000,1.000000,1.000000,0.000000
1.180000,0.150000,0.064852,0.084280,13.501052,27.313151,138.527995,1.000000,1.000000,1.000000,0.000000
1.185000,0.150000,0.065275,0.085156,13.554836,27.383563,138.356708,1.000000,1.000000,1.000000,0.000000
1.190000,0.150000,0.065701,0.084902,13.571475,27.470182,138.187565,1.000000,1.000000,1.000000,0.000000
1.195000,0.150000,0.066123,0.084439,13.622820,27.532099,138.020577,1.000000,1.000000,1.000000,0.000000
1.200000,0.150000,0.066548,0.085214,13.648903,27.604088,137.855836,1.000000,1.000000,1.000000,0.000000
1.205000,0.150000,0.066972,0.084375,13.676955,27.670362,137.693068,1.000000,1.000000,1.000000,0.000000
1.210000,0.150000,0.067394,0.084836,13.717584,27.725264,137.532464,1.000000,1.000000,1.000000,0.000000
1.215000,0.150000,0.067819,0.084763,13.733202,27.790496,137.373850,1.000000,1.000000,1.000000,0.000000
1.220000,0.150000,0.068241,0.084381,13.769288,27.839895,137.217195,1.000000,1.000000,1.000000,0.000000
1.225000,0.150000,0.068665,0.084886,13.791784,27.893499,137.062569,1.000000,1.000000,1.000000,0.000000
1.230000,0.150000,0.069088,0.084373,13.812148,27.944596,136.909782,1.000000,1.000000,1.000000,0.000000
1.235000,0.150000,0.069510,0.084585,13.842300,27.986555,136.758935,1.000000,1.000000,1.000000,0.000000
