t,DeltaT_ref,DeltaT,T_max,T_min,T_avg,flow_pattern,phi_b_kWm3,soc,n_switches,iae_cumulative
244.0,0.000,0.2788,303.1917,302.9129,303.1152,L,76.65,0.6611,10,47.77
245.0,0.000,0.2750,303.2165,302.9415,303.1408,L,76.65,0.6597,10,48.04
246.0,0.000,0.2712,303.2412,302.9700,303.1663,L,76.65,0.6583,10,48.31
247.0,0.000,0.2674,303.2658,302.9984,303.1918,L,76.65,0.6569,10,48.58
248.0,0.000,0.2636,303.2904,303.0268,303.2171,L,76.65,0.6556,10,48.84
249.0,0.000,0.2598,303.3149,303.0552,303.2425,L,76.65,0.6542,10,49.10
250.0,0.000,0.2559,303.3394,303.0835,303.2677,L,76.65,0.6528,10,49.36
251.0,0.000,0.2521,303.3638,303.1117,303.2930,L,76.65,0.6514,10,49.61
252.0,0.000,0.2483,303.3882,303.1399,303.3181,L,76.65,0.6500,10,49.86
253.0,0.000,0.2444,303.4124,303.1680,303.3432,L,76.65,0.6486,10,50.10
254.0,0.000,0.2420,303.4381,303.1961,303.3683,L,76.65,0.6472,10,50.35
255.0,0.000,0.2399,303.4641,303.2242,303.3932,L,76.65,0.6458,10,50.59
256.0,0.000,0.2378,303.4900,303.2521,303.4182,L,76.65,0.6444,10,50.82
257.0,0.000,0.2357,303.5158,303.2801,303.4430,L,76.65,0.6431,10,51.06
258.0,0.000,0.2336,303.5416,303.3080,303.4679,L,76.65,0.6417,10,51.29
259.0,0.000,0.2315,303.5673,303.3358,303.4926,L,76.65,0.6403,10,51.52
260.0,0.000,0.2294,303.5930,303.3636,303.5173,L,76.65,0.6389,10,51.75
261.0,0.000,0.2273,303.6186,303.3913,303.5420,L,76.65,0.6375,10,51.98
262.0,0.000,0.2252,303.6442,303.4190,303.5665,L,76.65,0.6361,10,52.21
263.0,0.000,0.2231,303.6697,303.4466,303.5911,L,76.65,0.6347,10,52.43
264.0,0.000,0.2210,303.6952,303.4742,303.6155,L,76.65,0.6333,10,52.65
265.0,0.000,0.2189,303.7206,303.5017,303.6400,L,76.65,0.6319,10,52.87
266.0,0.000,0.2167,303.7459,303.5292,303.6643,L,76.65,0.6306,10,53.09
267.0,0.000,0.2146,303.7712,303.5566,303.6886,L,76.65,0.6292,10,53.30
268.0,0.000,0.2125,303.7965,303.5840,303.7129,L,76.65,0.6278,10,53.51
269.0,0.000,0.2104,303.8217,303.6113,303.7371,L,76.65,0.6264,10,53.72
270.0,0.000,0.2082,303.8468,303.6386,303.7612,L,76.65,0.6250,10,53.93
271.0,0.000,0.2061,303.8719,303.6658,303.7853,L,76.65,0.6236,10,54.14
272.0,0.000,0.2039,303.8970,303.6930,303.8093,L,76.65,0.6222,10,54.34
273.0,0.000,0.2018,303.9219,303.7201,303.8333,L,76.65,0.6208,10,54.54
274.0,0.000,0.1996,303.9469,303.7472,303.8572,L,76.65,0.6194,10,54.74
275.0,0.000,0.1975,303.9717,303.7743,303.8811,L,76.65,0.6181,10,54.94
276.0,0.000,0.1953,303.9966,303.8012,303.9049,L,76.65,0.6167,10,55.14
277.0,0.000,0.1932,304.0213,303.8282,303.9286,L,76.65,0.6153,10,55.33
278.0,0.000,0.1910,304.0461,303.8551,303.9523,L,76.65,0.6139,10,55.52
279.0,0.000,0.1888,304.0707,303.8819,303.9760,L,76.65,0.6125,10,55.71
280.0,0.000,0.1867,304.0954,303.9087,303.9995,L,76.65,0.6111,10,55.90
281.0,0.000,0.1845,304.1199,303.9354,304.0231,L,76.65,0.6097,10,56.08
282.0,0.000,0.1823,304.1444,303.9621,304.0466,L,76.65,0.6083,10,56.26
283.0,0.000,0.1802,304.1689,303.9887,304.0700,L,76.65,0.6069,10,56.44
284.0,0.000,0.1780,304.1933,304.0153,304.0934,L,76.65,0.6056,10,56.62
285.0,0.000,0.1758,304.2177,304.0419,304.1167,L,76.65,0.6042,10,56.80
286.0,0.000,0.1736,304.2420,304.0684,304.1399,L,76.65,0.6028,10,56.97
287.0,0.000,0.1714,304.2662,304.0948,304.1632,L,76.65,0.6014,10,57.14
288.0,0.000,0.1692,304.2904,304.1212,304.1863,L,76.65,0.6000,10,57.31
289.0,0.000,0.1670,304.3146,304.1475,304.2094,L,76.65,0.5986,10,57.48
290.0,0.000,0.1648,304.3387,304.1738,304.2325,L,76.65,0.5972,10,57.64
291.0,0.000,0.1626,304.3627,304.2001,304.2555,L,76.65,0.5958,10,57.81
292.0,0.000,0.1604,304.3867,304.2263,304.2784,L,76.65,0.5944,10,57.97
293.0,0.000,0.1625,304.4107,304.2482,304.3013,L,76.65,0.5931,10,58.13
294.0,0.000,0.1662,304.4346,304.2683,304.3242,L,76.65,0.5917,10,58.29
295.0,0.000,0.1700,304.4584,304.2884,304.3469,L,76.65,0.5903,10,58.46
296.0,0.000,0.1738,304.4822,304.3085,304.3697,L,76.65,0.5889,10,58.64
