t,theta_ts,theta_dot_ts,u_ts,theta_base,u_base,w1,w2
1.55500,-2.65180,3.11508,0.00000,-3.65019,15.00000,0.00000,0.00000
1.56000,-2.63661,3.03777,0.00000,-3.58686,15.00000,0.00000,0.00000
1.56500,-2.62181,2.95994,0.00000,-3.50896,15.00000,0.00000,0.00000
1.57000,-2.60740,2.88161,0.00000,-3.41665,15.00000,0.00000,0.00000
1.57500,-2.59339,2.80285,0.00000,-3.31014,15.00000,0.00000,0.00000
1.58000,-2.57977,2.72369,0.00000,-3.18961,15.00000,0.00000,0.00000
1.58500,-2.56655,2.64420,0.00000,-3.05527,15.00000,0.00000,0.00000
1.59000,-2.55372,2.56440,0.00000,-2.90731,15.00000,0.00000,0.00000
1.59500,-2.54130,2.48435,0.00000,-2.74594,15.00000,0.00000,0.00000
1.60000,-2.52928,2.40409,0.00000,-2.57137,15.00000,0.00000,0.00000
1.60500,-2.51766,2.32367,0.00000,-2.38382,15.00000,0.00000,0.00000
1.61000,-2.50645,2.24312,0.00000,-2.18348,15.00000,0.00000,0.00000
1.61500,-2.49564,2.16248,0.00000,-1.97054,15.00000,0.00000,0.00000
