t,v_in,v_ref,v_out,i_L,d,mode,error
0.03870000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03872000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03874000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03876000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03878000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03880000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03882000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03884000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03886000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03888000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03890000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03892000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03894000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03896000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03898000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03900000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03902000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
