Time,y1,y2,y3,u1,u2,u3,du1,du2,du3
197,97.1754,50.4957,-0.0596962,0.284459,0.620912,0.438551,0.000168562,1.14441e-05,0.000268489
198,97.1731,50.4957,-0.0587948,0.284626,0.620923,0.438817,0.000167459,1.09076e-05,0.000266522
199,97.1709,50.4956,-0.0578911,0.284792,0.620934,0.439082,0.000166148,1.04308e-05,0.000264645
200,97.1688,50.4956,-0.0569851,0.284957,0.620943,0.439344,0.000165135,9.95398e-06,0.000262678
201,97.1668,50.4956,-0.056076,0.285121,0.620953,0.439605,0.000163287,9.35793e-06,0.000260741
202,97.1649,50.4956,-0.0551651,0.285282,0.620962,0.439864,0.000161797,8.76188e-06,0.000258803
203,97.1632,50.4956,-0.0542519,0.285442,0.62097,0.440121,0.000159502,8.52346e-06,0.000256866
204,97.1615,50.4956,-0.0533363,0.285599,0.620978,0.440376,0.000157565,8.04663e-06,0.000254929
205,97.16,50.4956,-0.0524185,0.285755,0.620986,0.440629,0.00015533,7.689e-06,0.000252992
206,97.1585,50.4956,-0.0514988,0.285908,0.620993,0.44088,0.000153422,6.97374e-06,0.000251055
207,97.1572,50.4957,-0.0505772,0.286059,0.620999,0.441129,0.000150651,6.55651e-06,0.000249088
208,97.1559,50.4957,-0.0496532,0.286207,0.621005,0.441376,0.000148296,6.07967e-06,0.000247151
209,97.1548,50.4958,-0.0487274,0.286353,0.621011,0.441621,0.000145644,5.90086e-06,0.000245214
210,97.1537,50.4958,-0.0477997,0.286496,0.621017,0.441865,0.000142783,5.60284e-06,0.000243247
211,97.1528,50.4959,-0.04687,0.286636,0.621022,0.442106,0.00014022,5.00679e-06,0.00024128
212,97.1519,50.496,-0.0459385,0.286773,0.621027,0.442345,0.000137419,4.52995e-06,0.000239342
213,97.1512,50.496,-0.0450054,0.286908,0.62103,0.442583,0.000134349,3.93391e-06,0.000237405
214,97.1505,50.4961,-0.0440704,0.287039,0.621034,0.442818,0.00013116,3.69549e-06,0.000235438
215,97.1499,50.4962,-0.0431339,0.287167,0.621038,0.443051,0.000128269,3.57628e-06,0.000233471
216,97.1494,50.4963,-0.0421955,0.287292,0.621041,0.443283,0.00012511,3.15905e-06,0.000231504
217,97.1489,50.4964,-0.0412556,0.287414,0.621043,0.443513,0.000122309,2.563e-06,0.000229567
218,97.1486,50.4965,-0.0403141,0.287533,0.621046,0.44374,0.000118703,2.20537e-06,0.0002276
219,97.1483,50.4966,-0.0393711,0.287649,0.621047,0.443966,0.000115544,1.78814e-06,0.000225633
220,97.1481,50.4967,-0.0384266,0.287761,0.621049,0.444189,0.000112683,1.72853e-06,0.000223666
221,97.148,50.4968,-0.0374802,0.287871,0.621051,0.444411,0.000109524,1.49012e-06,0.000221699
222,97.1479,50.4969,-0.0365326,0.287977,0.621051,0.444631,0.000106245,7.7486e-07,0.000219733
223,97.1479,50.497,-0.0355835,0.28808,0.621052,0.444849,0.000102818,7.15256e-07,0.000217766
224,97.148,50.4971,-0.0346333,0.28818,0.621053,0.445064,9.97782e-05,4.76837e-07,0.000215799
225,97.1481,50.4972,-0.0336811,0.288276,0.621053,0.445278,9.64999e-05,0,0.000213802
226,97.1483,50.4973,-0.0327278,0.28837,0.621053,0.44549,9.35793e-05,-1.19209e-07,0.000211835
227,97.1485,50.4974,-0.031773,0.28846,0.621052,0.4457,9.05097e-05,-4.17233e-07,0.000209838
228,97.1488,50.4975,-0.030817,0.288548,0.621052,0.445908,8.72612e-05,-5.36442e-07,0.000207901
229,97.1491,50.4976,-0.0298595,0.288632,0.621051,0.446114,8.44598e-05,-8.34465e-07,0.000205874
230,97.1495,50.4978,-0.0289005,0.288713,0.621049,0.446318,8.08835e-05,-1.3113e-06,0.000203907
231,97.1499,50.4979,-0.0279408,0.288791,0.621048,0.44652,7.84099e-05,-1.43051e-06,0.000201941
232,97.1504,50.498,-0.0269794,0.288866,0.621047,0.446719,7.51019e-05,-1.43051e-06,0.000199944
233,97.1509,50.4981,-0.0260166,0.288939,0.621045,0.446917,7.22706e-05,-1.43051e-06,0.000197947
234,97.1514,50.4982,-0.0250523,0.289008,0.621043,0.447113,6.93202e-05,-1.72853e-06,0.00019592
235,97.152,50.4983,-0.0240871,0.289075,0.621041,0.447307,6.6787e-05,-2.20537e-06,0.000193983
236,97.1526,50.4984,-0.0231209,0.289138,0.621039,0.447499,6.35386e-05,-2.38419e-06,0.000191987
237,97.1532,50.4985,-0.0221531,0.289199,0.621036,0.447689,6.08563e-05,-2.563e-06,0.00018996
238,97.1539,50.4986,-0.0211842,0.289258,0.621034,0.447877,5.8502e-05,-2.563e-06,0.000187993
239,97.1546,50.4987,-0.0202141,0.289313,0.621031,0.448063,5.55217e-05,-2.5034e-06,0.000185966
240,97.1553,50.4988,-0.0192429,0.289366,0.621029,0.448247,5.30183e-05,-2.563e-06,0.00018397
241,97.1561,50.4989,-0.0182701,0.289417,0.621026,0.448429,5.04255e-05,-2.80142e-06,0.000181943
242,97.1568,50.499,-0.0172966,0.289465,0.621023,0.448609,4.82798e-05,-3.27826e-06,0.000179976
243,97.1576,50.4991,-0.0163216,0.289511,0.621019,0.448787,4.60148e-05,-3.45707e-06,0.00017795
244,97.1584,50.4992,-0.0153454,0.289555,0.621016,0.448963,4.36604e-05,-3.09944e-06,0.000175923
245,97.1592,50.4993,-0.0143681,0.289596,0.621013,0.449137,4.1306e-05,-2.86102e-06,0.000173926
246,97.16,50.4994,-0.0133892,0.289635,0.62101,0.449309,3.89218e-05,-3.21865e-06,0.0001719
247,97.1608,50.4995,-0.0124096,0.289672,0.621007,0.449479,3.69847e-05,-3.33786e-06,0.000169873
248,97.1616,50.4996,-0.0114288,0.289707,0.621003,0.449647,3.49879e-05,-3.57628e-06,0.000167876
249,97.1625,50.4997,-0.0104469,0.28974,0.620999,0.449812,3.29316e-05,-3.75509e-06,0.00016585
250,97.1633,50.4998,-0.0094635,0.289771,0.620996,0.449976,3.08454e-05,-3.33786e-06,0.000163823
251,97.1642,50.4998,-0.00847931,0.2898,0.620992,0.450138,2.92957e-05,-3.39746e-06,0.000161797
252,97.165,50.4999,-0.00749321,0.289827,0.620989,0.450298,2.70903e-05,-3.63588e-06,0.000159711
253,97.1659,50.5,-0.00650673,0.289852,0.620985,0.450456,2.5481e-05,-3.75509e-06,0.000157773
254,97.1667,50.5001,-0.0055191,0.289876,0.620981,0.450611,2.38121e-05,-3.63588e-06,0.000155717
255,97.1676,50.5001,-0.00453033,0.289898,0.620978,0.450765,2.20835e-05,-3.63588e-06,0.000153661
256,97.1684,50.5002,-0.00354004,0.289919,0.620974,0.450917,2.09212e-05,-3.51667e-06,0.000151604
