Time,dx1,dx2,dx3,u1,u2,u3
313,3.56103e-07,1.03268e-07,7.48965e-12,0.11926,0.38063,0.12262
314,3.37284e-07,9.78109e-08,7.09382e-12,0.11926,0.38063,0.12262
315,3.19459e-07,9.26419e-08,6.7189e-12,0.11926,0.38063,0.12262
316,3.02576e-07,8.7746e-08,6.36382e-12,0.11926,0.38063,0.12262
317,2.86586e-07,8.31088e-08,6.02753e-12,0.11926,0.38063,0.12262
318,2.71441e-07,7.87167e-08,5.70897e-12,0.11926,0.38063,0.12262
319,2.57096e-07,7.45567e-08,5.40726e-12,0.11926,0.38063,0.12262
320,2.43509e-07,7.06165e-08,5.1215e-12,0.11926,0.38063,0.12262
321,2.3064e-07,6.68846e-08,4.85085e-12,0.11926,0.38063,0.12262
322,2.18451e-07,6.33499e-08,4.59451e-12,0.11926,0.38063,0.12262
323,2.06906e-07,6.0002e-08,4.3517e-12,0.11926,0.38063,0.12262
324,1.95972e-07,5.68311e-08,4.12175e-12,0.11926,0.38063,0.12262
325,1.85615e-07,5.38277e-08,3.90394e-12,0.11926,0.38063,0.12262
326,1.75806e-07,5.0983e-08,3.69763e-12,0.11926,0.38063,0.12262
327,1.66515e-07,4.82887e-08,3.50219e-12,0.11926,0.38063,0.12262
328,1.57715e-07,4.57367e-08,3.31707e-12,0.11926,0.38063,0.12262
329,1.4938e-07,4.33196e-08,3.14177e-12,0.11926,0.38063,0.12262
330,1.41486e-07,4.10303e-08,2.97573e-12,0.11926,0.38063,0.12262
331,1.34009e-07,3.88619e-08,2.81851e-12,0.11926,0.38063,0.12262
332,1.26927e-07,3.68082e-08,2.66956e-12,0.11926,0.38063,0.12262
333,1.20219e-07,3.4863e-08,2.52851e-12,0.11926,0.38063,0.12262
334,1.13865e-07,3.30205e-08,2.3949e-12,0.11926,0.38063,0.12262
335,1.07848e-07,3.12755e-08,2.26833e-12,0.11926,0.38063,0.12262
336,1.02148e-07,2.96226e-08,2.14845e-12,0.11926,0.38063,0.12262
337,9.67501e-08,2.80572e-08,2.03489e-12,0.11926,0.38063,0.12262
338,9.16371e-08,2.65744e-08,1.92733e-12,0.11926,0.38063,0.12262
339,8.67943e-08,2.517e-08,1.82549e-12,0.11926,0.38063,0.12262
340,8.22074e-08,2.38398e-08,1.72902e-12,0.11926,0.38063,0.12262
341,7.78629e-08,2.25799e-08,1.63762e-12,0.11926,0.38063,0.12262
342,7.37481e-08,2.13866e-08,1.55105e-12,0.11926,0.38063,0.12262
343,6.98507e-08,2.02564e-08,1.4691e-12,0.11926,0.38063,0.12262
344,6.61592e-08,1.91859e-08,1.39145e-12,0.11926,0.38063,0.12262
345,6.26629e-08,1.8172e-08,1.31793e-12,0.11926,0.38063,0.12262
346,5.93513e-08,1.72116e-08,1.2483e-12,0.11926,0.38063,0.12262
347,5.62147e-08,1.6302e-08,1.18233e-12,0.11926,0.38063,0.12262
348,5.32439e-08,1.54405e-08,1.11986e-12,0.11926,0.38063,0.12262
349,5.04301e-08,1.46245e-08,1.06066e-12,0.11926,0.38063,0.12262
350,4.7765e-08,1.38516e-08,1.00462e-12,0.11926,0.38063,0.12262
351,4.52407e-08,1.31196e-08,9.51519e-13,0.11926,0.38063,0.12262
352,4.28498e-08,1.24263e-08,9.01207e-13,0.11926,0.38063,0.12262
353,4.05853e-08,1.17696e-08,8.53582e-13,0.11926,0.38063,0.12262
354,3.84405e-08,1.11476e-08,8.08492e-13,0.11926,0.38063,0.12262
355,3.6409e-08,1.05585e-08,7.65753e-13,0.11926,0.38063,0.12262
356,3.44848e-08,1.00005e-08,7.25314e-13,0.11926,0.38063,0.12262
357,3.26624e-08,9.47197e-09,6.86987e-13,0.11926,0.38063,0.12262
358,3.09363e-08,8.9714e-09,6.50682e-13,0.11926,0.38063,0.12262
359,2.93014e-08,8.49728e-09,6.163e-13,0.11926,0.38063,0.12262
360,2.77529e-08,8.04822e-09,5.83727e-13,0.11926,0.38063,0.12262
361,2.62862e-08,7.62289e-09,5.52884e-13,0.11926,0.38063,0.12262
362,2.4897e-08,7.22004e-09,5.23678e-13,0.11926,0.38063,0.12262
